,guess,score,x_offset,y_offset
0,Bocclszi,4223982.0,-1,15
1,Bacclszi,4225175.0,-1,15
2,Bucclszi,4271458.0,-1,15
3,Bocclszc,4896655.0,-1,15
4,Bacclszc,4897848.0,-1,15
5,Bucclszc,4944131.0,-1,15
6,Bxsclszc,5502522.0,-1,15
7,Illocclszc,5583765.0,-1,15
8,Illacclszc,5584958.0,-1,15
9,Bocclszr,6224919.0,-1,15
10,Bacclszr,6226112.0,-1,15
11,Bucclszr,6272395.0,-1,15
12,Bocclszt,7410617.0,-1,15
13,Bacclszt,7411810.0,-1,15
14,Bucclszt,7458093.0,-1,15
15,Bocclszl,7827638.0,-1,15
16,Bacclszl,7828831.0,-1,15
17,Bucclszl,7875114.0,-1,15
18,Bocclszx,8006611.0,-1,15
19,Bacclszx,8007804.0,-1,15
20,Bxsclszt,8016484.0,-1,15
21,Bucclszx,8054087.0,-1,15
22,Illocclszt,8097727.0,-1,15
23,Illacclszt,8098920.0,-1,15
24,Bxsclszx,8612478.0,-1,15
25,Illocclszx,8693721.0,-1,15
26,Illacclszx,8694914.0,-1,15
27,Bocclszz,9432518.0,-1,15
28,Bacclszz,9433711.0,-1,15
29,Bucclszz,9479994.0,-1,15
30,Bocclszv,9624696.0,-1,15
31,Bacclszv,9625889.0,-1,15
32,Bucclszv,9672172.0,-1,15
33,Bxsclszz,10038385.0,-1,15
34,Illocclszz,10119628.0,-1,15
35,Illacclszz,10120821.0,-1,15
36,Bxsclszv,10230563.0,-1,15
37,Bocclszs,11838195.0,-1,15
38,Bacclszs,11839388.0,-1,15
39,Bucclszs,11885671.0,-1,15
40,Bxsclszs,12444062.0,-1,15
41,Illocclszs,12525305.0,-1,15
42,Illacclszs,12526498.0,-1,15
43,Bocclszy,14250650.0,-1,15
44,Bacclszy,14251843.0,-1,15
45,Bucclszy,14298126.0,-1,15
46,Bxsclszy,14856517.0,-1,15
47,Bocclszo,15296820.0,-1,15
48,Bacclszo,15298013.0,-1,15
49,Bucclszo,15344296.0,-1,15
50,Bocclszf,15506633.0,-1,15
51,Bacclszf,15507826.0,-1,15
52,Bucclszf,15554109.0,-1,15
53,Bxsclszo,15902687.0,-1,15
54,Illocclszo,15983930.0,-1,15
55,Illacclszo,15985123.0,-1,15
56,Bocclsza,16016245.0,-1,15
57,Bacclsza,16017438.0,-1,15
58,Bucclsza,16063721.0,-1,15
59,Bxsclszf,16112500.0,-1,15
60,Illocclszf,16193743.0,-1,15
61,Illacclszf,16194936.0,-1,15
62,Bocclszu,16489386.0,-1,15
63,Bacclszu,16490579.0,-1,15
64,Bucclszu,16536862.0,-1,15
65,Bxsclsza,16622112.0,-1,15
66,Illocclsza,16703355.0,-1,15
67,Illacclsza,16704548.0,-1,15
68,Bocclsze,17057143.0,-1,15
69,Bacclsze,17058336.0,-1,15
70,Bxsclszu,17095253.0,-1,15
71,Bucclsze,17104619.0,-1,15
72,Bxsclsze,17663010.0,-1,15
73,Illocclsze,17744253.0,-1,15
74,Illacclsze,17745446.0,-1,15
75,Bocclsz,18558084.0,-1,15
76,Bacclsz,18559277.0,-1,15
77,Bucclsz,18605560.0,-1,15
78,Bocclszd,22750241.0,-1,15
79,Bacclszd,22751434.0,-1,15
80,Bucclszd,22797717.0,-1,15
81,Bxsclszd,23356108.0,-1,15
82,Bocclszq,23396303.0,-1,15
83,Bacclszq,23397496.0,-1,15
84,Illocclszd,23437351.0,-1,15
85,Illacclszd,23438544.0,-1,15
86,Bucclszq,23443779.0,-1,15
87,Bxsclszq,24002170.0,-1,15
88,Illocclszq,24083413.0,-1,15
89,Illacclszq,24084606.0,-1,15
90,Bocclszw,32170428.0,-1,15
91,Bacclszw,32171621.0,-1,15
92,Bucclszw,32217904.0,-1,15
93,Bxsclszw,32776295.0,-1,15
94,Bocclszg,33069731.0,-1,15
95,Bacclszg,33070924.0,-1,15
96,Bucclszg,33117207.0,-1,15
97,Bxsclszg,33675598.0,-1,15
98,Illocclszg,33756841.0,-1,15
99,Illacclszg,33758034.0,-1,15
