,guess,score
0,Fulgora,896534.0
1,Fulgorx,1200121.0
2,Fulgorxj,1200121.0
3,Fulgorxi,1200121.0
4,Fulgorxl,1200121.0
5,Fulgorcj,1534771.0
6,Fulgorc,1534771.0
7,Fulgorcl,1534771.0
8,Fulgorci,1534771.0
9,Fulgorq,1576510.0
10,Fulgord,1579230.0
11,Fulgoro,1594182.0
12,Fulgorix,1687997.0
13,Fulgorzi,1764438.0
14,Fulgorzl,1764438.0
15,Fulgorzj,1764438.0
16,Fulgorz,1764438.0
17,Fulgorw,1842228.0
18,Fulgorie,1914169.0
19,Fulgore,1948754.0
20,Fulgoris,1995834.0
21,Fulgorio,2068925.0
22,Fulgorid,2107454.0
23,Fulgoriq,2110298.0
24,Fulgoric,2146078.0
25,Fulgara,2149553.0
26,Fulgors,2162607.0
27,Fulgura,2255420.0
28,Fulgorm,2369047.0
29,Fulgorn,2370310.0
30,Fulgorr,2371807.0
31,Fulgorri,2371807.0
32,Fulgorrl,2371807.0
33,Fuigora,2405454.0
34,Fulgarxi,2453140.0
35,Fulgarxl,2453140.0
36,Fulgarxj,2453140.0
37,Fulgarx,2453140.0
38,Fulgorrj,2487407.0
39,Fulgoriz,2497574.0
40,Fulgurxj,2559007.0
41,Fulgurxl,2559007.0
42,Fulgurxi,2559007.0
43,Fulgurx,2559007.0
44,Fulgoriw,2587766.0
45,Fuigorxi,2709041.0
46,Fuigorx,2709041.0
47,Fuigorxj,2709041.0
48,Fuigorxl,2709041.0
49,Fulgoria,2709146.0
50,Fulgoriu,2737111.0
51,Fulgarc,2787790.0
52,Fulgarcj,2787790.0
53,Fulgarci,2787790.0
54,Fulgarcl,2787790.0
55,Fulgarq,2829529.0
56,Fulgard,2832249.0
57,Fulgaro,2847201.0
58,Fulgorir,2852165.0
59,Fulgorin,2852165.0
60,Fulgorim,2852165.0
61,Fulgoriy,2892530.0
62,Fulgurc,2893657.0
63,Fulgurcl,2893657.0
64,Fulgurci,2893657.0
65,Fulgurcj,2893657.0
66,Fulgurq,2935396.0
67,Fulgurd,2938116.0
68,Fulgarix,2941016.0
69,Fulguro,2953068.0
70,Fulgoriv,2973190.0
71,Fulgarz,3017457.0
72,Fulgarzj,3017457.0
73,Fulgarzl,3017457.0
74,Fulgarzi,3017457.0
75,Fuigorcj,3043691.0
76,Fuigorci,3043691.0
77,Fuigorc,3043691.0
78,Fuigorcl,3043691.0
79,Fulgurix,3046883.0
80,Fuigorq,3085430.0
81,Fuigord,3088150.0
82,Fulgarw,3095247.0
83,Fuigoro,3103102.0
