,guess,score,left_offset,top_offset
0,Aquilcr,847,-1,11
1,Aquilsy,855,-1,11
2,Aquilca,884,-1,11
3,Aquilez,893,-1,11
4,Aquilsw,900,-1,11
5,Aquvcs,923,-1,11
6,Aquilcq,948,-1,11
7,Aquilsv,951,-1,11
8,Aquilo,986,-1,11
9,Aquilci,1003,-1,11
10,Aquilcc,1042,-1,11
11,Aquilos,1043,-1,11
12,Aquils,1047,-1,11
13,Aquvce,1054,-1,11
14,Aquilon,1103,-1,11
15,Aquilom,1103,-1,11
16,Aquilor,1103,-1,11
17,Aquiles,1116,-1,11
18,Aquilzv,1117,-1,11
19,Aquildt,1146,-1,11
20,Aquilcij,1150,-1,11
21,Aqoilcr,1157,-1,11
22,Aquilsz,1161,-1,11
23,Aqoilsy,1165,-1,11
24,Aquilirs,1173,-1,11
25,Aquvos,1179,-1,11
26,Aquiicr,1183,-1,11
27,Aquilire,1188,-1,11
28,Aquilcs,1191,-1,11
29,Aquiisy,1191,-1,11
30,Aqoilca,1194,-1,11
31,Aquiloi,1202,-1,11
32,Aquillk,1203,-1,11
33,Aqoilez,1203,-1,11
34,Aquil,1206,-1,11
35,Aquilcz,1207,-1,11
36,Aquvxo,1210,-1,11
37,Aqoilsw,1210,-1,11
38,Aquvca,1217,-1,11
39,Aquiica,1220,-1,11
40,Aquilex,1229,-1,11
41,Aquiiez,1229,-1,11
42,Aquilcl,1231,-1,11
43,Aquiisw,1236,-1,11
44,Aquildi,1240,-1,11
45,Aquiae,1241,-1,11
46,Aquildh,1242,-1,11
47,Aquildk,1242,-1,11
48,Aquiau,1247,-1,11
49,Aquiloz,1253,-1,11
50,Aqoilcq,1258,-1,11
51,Aqoilsv,1261,-1,11
52,Aquilz,1261,-1,11
53,Aquildq,1264,-1,11
54,Aquilcf,1268,-1,11
55,Aquucs,1271,-1,11
56,Aquvau,1272,-1,11
57,Aquvvx,1275,-1,11
58,Aquiicq,1284,-1,11
59,Aquiisv,1287,-1,11
60,Aquilzb,1288,-1,11
61,Aqoilo,1296,-1,11
62,Aqujlcr,1300,-1,11
63,Aquxsy,1306,-1,11
64,Aquildl,1308,-1,11
65,Aqujlsy,1308,-1,11
66,Aqovcs,1309,-1,11
67,Aquilzc,1312,-1,11
68,Aqoilci,1313,-1,11
69,Aquialb,1315,-1,11
70,Aquilsn,1318,-1,11
71,Aquilsr,1318,-1,11
72,Aquilsm,1318,-1,11
73,Aquiio,1322,-1,11
74,Aquiac,1327,-1,11
75,Aquilov,1328,-1,11
76,Aquxcr,1329,-1,11
77,Aquilqy,1333,-1,11
78,Aqujlca,1337,-1,11
79,Aquiici,1339,-1,11
80,Aquirzt,1342,-1,11
81,Aqujlez,1346,-1,11
82,Aquvvz,1347,-1,11
83,Aquile,1349,-1,11
84,Aquildb,1351,-1,11
85,Aquxsw,1351,-1,11
86,Aqoilcc,1352,-1,11
87,Aquvct,1352,-1,11
88,Aquvee,1352,-1,11
89,Aikrilcs,1353,-1,11
90,Aquilirz,1353,-1,11
91,Aqoilos,1353,-1,11
92,Aqujlsw,1353,-1,11
93,Aquxez,1354,-1,11
94,Aquilow,1355,-1,11
95,Aquilsq,1357,-1,11
96,Aqoils,1357,-1,11
97,Aquilie,1360,-1,11
98,Aquvve,1361,-1,11
99,Aquiaiv,1362,-1,11
100,Aquir,1362,-1,11
101,Aquxca,1366,-1,11
102,Aonilcs,1369,-1,11
103,Aquilup,1374,-1,11
104,Aquilclj,1378,-1,11
