,word,error
0,Sacraria,27607224.0
1,Succeed,29795871.0
2,Costaea,29855111.0
3,Euscaro,30379728.0
4,Carbazic,30456437.0
5,Suctoria,30625782.0
6,Susumu,30779809.0
7,Syruped,30960080.0
8,Aracana,30965329.0
9,Satrapal,31027580.0
10,Upcoast,31410664.0
11,Cascara,31572640.0
12,Eutaxitic,31689049.0
13,Upboost,31710537.0
14,Sualocin,31794852.0
15,Sunland,31921056.0
16,Noduled,31985261.0
17,Cardioid,32101254.0
18,Succinct,32313416.0
19,Guaiacol,32481568.0
20,Conopid,32605098.0
21,Sowans,32623617.0
22,Stopped,32822721.0
23,Caridoid,33277994.0
24,Kawaka,33301149.0
25,Stipuled,33403148.0
26,Soapbox,33539482.0
27,Carbinol,33581959.0
28,Curtana,33596722.0
29,Sastean,33619585.0
30,Saccadic,33713244.0
31,Carajura,33771828.0
32,Spatted,33808142.0
33,Surbase,34016417.0
34,Episodal,34042822.0
35,Suppost,34046898.0
36,Sandust,34077730.0
37,Eutaxite,34093397.0
38,Casquet,34295111.0
39,Casuary,34362048.0
40,Scoured,34394798.0
41,Suwandi,34498745.0
42,Cytozoic,34615068.0
43,Salvadorian,34702872.0
44,Spatiate,34792922.0
45,Civilized,34796234.0
46,Carabao,34912987.0
47,Castalia,34953233.0
48,Catapan,34972689.0
49,Safawid,34974397.0
50,Curupira,34985176.0
51,Calvaria,35140594.0
52,Stabilist,35152389.0
53,Vascons,35186061.0
54,Salvadoraceae,35240749.0
55,Salvadoran,35240749.0
56,Salvadora,35240749.0
57,Salvadoraceous,35240749.0
58,Stylopid,35267347.0
59,Siciliana,35323999.0
60,Vaccinia,35337673.0
61,Satanas,35402699.0
62,Vacuous,35544650.0
63,Vorticist,35555094.0
64,Outyard,35557586.0
65,Saxicola,35623308.0
66,Applaud,35632512.0
67,Calvatia,35648122.0
68,Enclaret,35663607.0
69,Coadapt,35742219.0
70,Saboted,35819881.0
71,Curacao,35846304.0
72,Hadland,35852146.0
73,Saccade,35896862.0
74,Buduma,35951689.0
75,Sarrazin,36053208.0
76,Euskara,36142998.0
77,Coccidia,36169958.0
78,Succade,36178121.0
79,Badland,36218279.0
80,Upupoid,36260876.0
81,Ecstasis,36318920.0
82,Corupay,36323049.0
83,Carapax,36336188.0
84,Agalaxia,36339003.0
85,Saracen,36404771.0
86,Cotyloid,36415836.0
87,Stubbed,36453767.0
88,Oxidator,36513771.0
89,Carbanil,36519040.0
90,Stepped,36546856.0
91,Sarkical,36547448.0
92,Coroado,36643269.0
93,Kootcha,36671161.0
94,Spawny,36735311.0
95,Upspout,36737293.0
96,Castalio,36830610.0
97,Coadmit,36843951.0
98,Sarcodic,36860771.0
99,Crabbed,36878782.0
100,Cuscuta,36908394.0
101,Catalina,36919810.0
102,Kailyard,36941187.0
103,Ataraxia,36943800.0
104,Curialist,36954566.0
105,Vamped,37009477.0
106,Cuspidal,37025782.0
107,Scotopic,37042754.0
108,Sectator,37044562.0
109,Euskera,37069594.0
110,Clavaria,37091508.0
111,Gozzard,37156074.0
112,Scooped,37158230.0
113,Salivant,37218247.0
114,Babuina,37226996.0
115,Guavina,37289909.0
116,Epoptist,37293127.0
117,Loquent,37299288.0
118,Encloud,37327684.0
119,Arabana,37352593.0
120,Gorilloid,37358561.0
121,Scapose,37363957.0
122,Nocuous,37486098.0
123,Cattabu,37497867.0
124,Saravan,37526986.0
125,Slavonic,37528646.0
126,Sparada,37543970.0
127,Conuzor,37559743.0
128,Surpass,37610873.0
129,Satureia,37681917.0
130,Appliant,37685168.0
131,Clavacin,37706881.0
132,Accused,37729951.0
133,Autopsic,37806912.0
134,Cataract,37811371.0
135,Suboptic,37818238.0
136,Cucurbit,37823138.0
137,Valuator,37824851.0
138,Goddard,37848392.0
139,Sprawly,37855558.0
140,Scacchic,37907216.0
141,Cariama,37907892.0
142,Sextans,37912035.0
143,Corbeau,37928142.0
144,Gudame,37937360.0
145,Spyboat,37956820.0
146,Carbona,37977176.0
147,Serapea,38007128.0
148,Cercaria,38009768.0
149,Anaudia,38025401.0
150,Spayard,38028471.0
151,Costean,38038336.0
152,Daddock,38045489.0
153,Concord,38090369.0
154,Earldom,38093733.0
155,Updome,38095852.0
156,Eridanid,38128216.0
157,Subtotal,38138658.0
158,Synusia,38154058.0
159,Soldado,38186523.0
160,Diabasic,38203116.0
161,Aproctia,38219403.0
162,Spotted,38223609.0
163,Unsized,38230922.0
164,Acarapis,38267854.0
165,Entozoa,38330490.0
166,Vapored,38376972.0
167,Epicarid,38415475.0
168,Coadore,38428072.0
169,Cosuitor,38441103.0
170,Unpiped,38458943.0
171,Soutane,38462427.0
172,Coracial,38496662.0
173,Cowbird,38516080.0
174,Durzada,38521225.0
175,Outbent,38542720.0
176,Foxbane,38556196.0
177,Scabwort,38569066.0
178,Scabbed,38584566.0
179,Amazed,38613351.0
180,Subtend,38628738.0
181,Carolina,38634111.0
182,Serapist,38652960.0
183,Subtilist,38680436.0
184,Statued,38694389.0
185,Cuzceno,38728152.0
186,Surprint,38753930.0
187,Expiator,38776717.0
188,Suricata,38821443.0
189,Earache,38822244.0
190,Oxaluria,38823694.0
