,guess,score
0,Jlulcanos,2370536.0
1,Jlulcanor,2959451.0
2,Jlulcanov,2959791.0
3,Jlulcanon,2964787.0
4,Jlulcanom,2965091.0
5,Jlulcancs,3091194.0
6,Jlulcanoy,3144648.0
7,Jlulcanus,3183368.0
8,Jlulcanow,3257224.0
9,Jlulcancri,3261510.0
10,Jlulcancrl,3261510.0
11,Jlulcancrj,3261510.0
12,Jlulcancr,3261510.0
13,Jlulcanoe,3376107.0
14,Jlulcancn,3439923.0
15,Jlulcancm,3449787.0
16,Jlulcanoo,3655211.0
17,Jlulcanox,3698807.0
18,Jlulcanoq,3735521.0
19,Jlulcanoc,3810512.0
20,Jlulcanou,3819923.0
21,Jlulcanod,3845735.0
22,Jlulcance,3901929.0
23,Jlulcanoil,3925508.0
24,Jlulcanoi,3925508.0
25,Jlulcanoii,3925508.0
26,Jlulcanuv,3935073.0
27,Jlulcanur,3970503.0
28,Jlulcanun,3976883.0
29,Jlulcanum,3977223.0
30,Jlulcanoij,4041108.0
31,Jlulcancx,4112214.0
32,Jlulcanuy,4123204.0
33,Jlulcanuw,4261616.0
34,Jlulcanue,4447395.0
35,Jlulcanux,4755823.0
36,Jlulcanuo,4759239.0
37,Jlulcanuq,4853617.0
38,Jlulcancq,4858571.0
39,Jlulcanco,4915088.0
40,Jlulcanuu,4918361.0
41,Jlulcanuc,4938156.0
42,Jlulcanuii,4946892.0
43,Jlulcanui,4946892.0
44,Jlulcanuil,4946892.0
45,Jlulcancc,4968275.0
46,Jlulcanud,4974531.0
47,Jlulcancd,5054421.0
48,Jlulcanuij,5062492.0
49,Jlulcanciv,5140771.0
50,Jlulcanciy,5148064.0
51,Jlulcanot,5192772.0
52,Jlulcanciw,5292600.0
53,Jlulcancit,5465256.0
54,Jlulcancis,5492899.0
55,Jlulcancif,5543875.0
56,Jlulcancio,5557179.0
57,Jlulcanciq,5574344.0
58,Jlulcancic,5590306.0
59,Jlulcancid,5618947.0
60,Jlulcanoa,5637516.0
61,Jlulcancie,5698891.0
62,Jlulcanctl,5703390.0
63,Jlulcancti,5703390.0
64,Jlulcanctj,5703390.0
65,Jlulcanct,5703390.0
66,Jlulcancix,5921106.0
67,Jlulcanciz,5974674.0
68,Jlulcancig,5996520.0
69,Jlulcanciu,6076755.0
70,Jlulcancv,6100767.0
71,Jlulcanca,6147131.0
72,Jlulcanut,6224656.0
73,Jlulcanci,6611631.0
74,Jlulcancir,6611631.0
75,Jlulcancii,6611631.0
76,Jlulcancil,6611631.0
77,Jlulcanua,6835316.0
78,Jlulcancia,6855998.0
79,Jlulcancu,6951479.0
80,Jlulcanok,7168586.0
81,Jlulcanoh,7172603.0
82,Jlulcanck,7365314.0
83,Jlulcanoll,7529164.0
84,Jlulcanol,7529164.0
85,Jlulcanoli,7529164.0
86,Jlulcancz,7567887.0
87,Jlulcancjv,7580260.0
88,Jlulcancjy,7587553.0
89,Jlulcanolj,7644764.0
90,Jlulcancjw,7732089.0
91,Jlulcancw,7739502.0
92,Jlulcanch,7789374.0
93,Jlulcancjt,7904745.0
94,Jlulcancij,7961835.0
95,Jlulcancjf,7983364.0
96,Jlulcanof,8087184.0
97,Jlulcancjs,8132260.0
98,Jlulcanoz,8175584.0
99,Jlulcanuk,8179908.0
100,Jlulcanuh,8184627.0
101,Jlulcanoji,8223913.0
102,Jlulcanoj,8223913.0
103,Jlulcanojl,8223913.0
104,Jlulcancjo,8254836.0
105,Jlulcancjc,8275471.0
106,Jlulcanob,8290880.0
107,Jlulcancjq,8294209.0
108,Jlulcancjd,8354080.0
109,Jlulcancje,8363236.0
110,Jlulcancju,8545392.0
111,Jlulcanull,8550548.0
112,Jlulcanul,8550548.0
113,Jlulcanuli,8550548.0
114,Jlulcanop,8568180.0
115,Jlulcanulj,8666148.0
116,Jlulcancjx,8703431.0
117,Jlulcanclv,8744427.0
118,Jlulcancly,8751720.0
119,Jlulcancjz,8856935.0
120,Jlulcanclw,8896256.0
121,Jlulcancjg,9019935.0
122,Jlulcancji,9051120.0
123,Jlulcancj,9051120.0
124,Jlulcancjr,9051120.0
125,Jlulcancjl,9051120.0
126,Jlulcanclt,9068912.0
127,Jlulcanog,9077013.0
128,Jlulcancls,9096555.0
129,Jlulcanuf,9100762.0
130,Jlulcanclf,9147531.0
131,Jlulcanclo,9160835.0
132,Jlulcanclq,9178000.0
133,Jlulcanclc,9193962.0
134,Jlulcancld,9222603.0
135,Jlulcancp,9225322.0
136,Jlulcancle,9302547.0
137,Jlulcancb,9403194.0
138,Jlulcancy,9430074.0
139,Jlulcanuj,9439617.0
140,Jlulcanuji,9439617.0
141,Jlulcanujl,9439617.0
142,Jlulcanojj,9462193.0
143,Jlulcanub,9467028.0
144,Jlulcanuz,9507804.0
145,Jlulcanclx,9524762.0
146,Jlulcanclz,9578330.0
147,Jlulcanclg,9600176.0
148,Jlulcanclu,9680411.0
149,Jlulcanup,9927540.0
150,Jlulcancja,10021411.0
151,Jlulcancll,10215287.0
152,Jlulcancli,10215287.0
153,Jlulcancl,10215287.0
154,Jlulcanclr,10215287.0
155,Jlulcanug,10364129.0
156,Jlulcancla,10459654.0
157,Jlulcanujj,10677897.0
158,Jlulcancfi,11104034.0
159,Jlulcancfj,11104034.0
160,Jlulcancfl,11104034.0
161,Jlulcancf,11104034.0
162,Jlulcanclj,11565491.0
163,Jlulcancjj,13495896.0
164,Jlulcancg,13855110.0
165,Jlulcano,15253760.0
166,Jlulcanu,15744456.0
167,Jlulcanc,27048645.0
